"","countrycode","2001","2003","2004","2006","2007","2008","2011","2012","2013","2014","2015","X2016","2017"
"47","GRC","136191353467562",201924270316027,240521260988329,273317737046795,318497936901177,354460802548704,287797822093178,245670666639047,239862011450103,237029579260722,196591353761226,195222443512937,203085551429132
"48","GTM","18702802789.3009",21917706490.5299,23965275995.7214,30231249362.0603,34113107085.6085,39136954232.1988,47654783851.8252,50388460924.7345,53851148431.9316,58722323918.1604,63767597193.9175,68663653469.1246,75620095537.5005
"49","HIC","27317065057931.7",31924056168847,35531784456165.9,39688841832102.5,43408127114190.5,46144055275846.8,48938304410228.3,48994701036926.9,49584416023811.6,50660517806404.2,47850600439654.7,48846737266418.7,51007659904749.7
"50","HKG","169403241524337",161384522525299,169099768875193,193536265094364,211597405593868,219279678430164,248513617677287,262629441493476,275696879834967,291459356985337,309383627028561,320860698504309,341648103474824
"51","HND","7565877533.54421",8140282679.97372,8772170427.48088,10841723354.4391,12275493958.7834,13789727209.7723,17588097149.7619,18400538970.1119,18372173610.6685,19618567447.2199,20833948912.2897,21566622849.6057,22940179173.6147
"52","HRV","23289671102.3197",34667270723.3408,41523418159.5214,50404444703.3826,60121906684.0682,70494603466.4504,62399478246.2247,56548374544.8951,58157880646.4618,57682343707.5954,49519006809.2676,51623429121.3635,55201417479.3925
"53","HUN","53821315066.1024",85324771841.4118,104066609517928,115295199391606,139850794387281,157998423131739,140782064609187,127856647107.82,135220881110441,140082504424588,123074092703141,126007978024.32,139761138102757
"54","IBD","5890230266263.89",6735919655458.84,8014727019240.77,11367749216481.8,14131000561594.7,16963471720634.8,23617127235545.2,25106275471953.1,26533916731989.8,27401475014254.7,25861299090783.9,26007844862729,28633325623549.2
"55","IDB","201330057698616",250053302014356,306064532797836,473887201110281,547458077826067,651561320885.37,821175610000041,903991245250574,983062712052744,1078993325724.2,1024951386304,949684642860357,942180672601184
"56","IDN","160446947784909",234772463823808,256836875295452,364570514304.85,432216737774861,510228634992258,892969107923097,917869910105748,912524136718019,890814755233225,860854235065079,931877364177742,1015423455783.28
"57","IDX","253165690597.37",300502919328733,340173675067765,444482734265806,529119859384.01,642111042961651,840445860006432,886434333832953,983697024193.72,1057615994175.32,1072816242432.06,1100335918044.46,1217660056890.77
"58","IND","485441026156549",607699299977.15,709148531774823,940259892374501,1216735426855.47,1198895498504.14,1823049927771.46,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2290432075123.75,2652551202555.27
"59","IRL","109135253959732",164284690067.72,193870692699.28,232083467569941,269917943471.12,275038896001172,237472361872.56,224999484104853,238543538776684,258471885130304,291499812103645,300523297712.96,334834010485.56
